,제목,정보제공,날짜
0,"브이원텍, 사외이사 최광용씨 자진사임",이데일리,2021.07.19 16:43
1,"브이원텍 김선중 대표, 어린이 교통안전 릴레이 챌린지 동참",머니투데이,2021.06.08 16:08
2,"브이원텍, 시스콘 주식 5만주 취득",아시아경제,2021.03.09 16:34
3,"브이원텍, 지난해 영업익 65억…전년비 35.4%↑",헤럴드경제,2021.02.15 14:10
4,[주목!e스몰캡]‘실적 반등의 해’…2차전지·DP 검사장비 기업 ‘브이...,이데일리,2021.01.24 09:24
5,"브이원텍, 2차전지·디스플레이 검사장비 턴어라운드 기대 -유안타",이데일리,2021.01.14 08:04
6,"브이원텍, LG전자와 2차전지 검사시스템 공급계약 체결",아시아경제,2020.12.18 13:19
7,"브이원텍, LG전자에 156억원 규모 '2차전지 검사시스템' 공급",이데일리,2020.12.18 11:25
8,"브이원텍, 주당 100원 결산 배당",이데일리,2020.12.07 13:48
9,"연관기사 목록  브이원텍, 주당 100원 현금배당 결정  아시아경제  2020.12.07 13:20  브이원텍, 주당 100원 현금배당 결정  헤럴드경제  2020.12.07 11:40  관련뉴스 1건 더보기","연관기사 목록  브이원텍, 주당 100원 현금배당 결정  아시아경제  2020.12.07 13:20  브이원텍, 주당 100원 현금배당 결정  헤럴드경제  2020.12.07 11:40  관련뉴스 1건 더보기","연관기사 목록  브이원텍, 주당 100원 현금배당 결정  아시아경제  2020.12.07 13:20  브이원텍, 주당 100원 현금배당 결정  헤럴드경제  2020.12.07 11:40  관련뉴스 1건 더보기"
10,"브이원텍, 주당 100원 현금배당 결정",아시아경제,2020.12.07 13:20
11,"브이원텍, 주당 100원 현금배당 결정",헤럴드경제,2020.12.07 11:40
12,"브이원텍, 中업체와 15억 규모 장비 계약 체결",아시아경제,2020.12.01 11:41
13,"연관기사 목록  브이원텍, 15억 규모 LCD 압흔검사기 공급계약 체결  헤럴드경제  2020.12.01 10:22","연관기사 목록  브이원텍, 15억 규모 LCD 압흔검사기 공급계약 체결  헤럴드경제  2020.12.01 10:22","연관기사 목록  브이원텍, 15억 규모 LCD 압흔검사기 공급계약 체결  헤럴드경제  2020.12.01 10:22"
14,"브이원텍, 15억 규모 LCD 압흔검사기 공급계약 체결",헤럴드경제,2020.12.01 10:22
