,제목,정보제공,날짜
0,"싸이맥스, 2Q 영업익 93.3억…전년比 33.2%↑",이데일리,2021.08.05 13:36
1,"싸이맥스, 2분기 영업익 93억…전년비 33.2% ↑",헤럴드경제,2021.08.05 13:33
2,"싸이맥스, 1Q 영업익 109억.. 전년비 41.4%↑",아시아경제,2021.05.06 13:48
3,"싸이맥스, 1분기 영업익 109억…전년비 41.4% ↑",헤럴드경제,2021.05.06 10:45
4,"싸이맥스, 지난해 영업익 230억…전년비 1064.1%↑",헤럴드경제,2021.02.24 10:52
5,"싸이맥스, 작년 영업익 229.8억원…전년比 1064%↑",이데일리,2021.02.24 10:47
6,"[특징주]싸이맥스, 삼성전자 반도체 투자 30조원 소식에 강세",파이낸셜뉴스,2021.01.25 10:45
7,싸이맥스·해성디에스 등 내년 고성장 중소형주 주목-리서치알음,파이낸셜뉴스,2020.12.15 09:05
8,"싸이맥스, 3Q 영업익 39억원…전년比 흑자전환",이데일리,2020.11.05 14:02
