,제목,정보제공,날짜
0,"시큐브, 수기서명 인증 시스템 관련 일본 특허 획득",아시아경제,2021.08.03 14:06
1,"연관기사 목록  시큐브, 수기 서명 인증 시스템 일본 특허권 취득  이데일리  2021.08.03 12:51","연관기사 목록  시큐브, 수기 서명 인증 시스템 일본 특허권 취득  이데일리  2021.08.03 12:51","연관기사 목록  시큐브, 수기 서명 인증 시스템 일본 특허권 취득  이데일리  2021.08.03 12:51"
2,"시큐브, 수기 서명 인증 시스템 일본 특허권 취득",이데일리,2021.08.03 12:51
3,"시큐브, 생체수기서명 인증 기술 유럽연합(EU) 특허 취득",이데일리,2021.07.21 09:42
4,"시큐브, 동적 이동 추적 관련 특허 유럽서 취득",이데일리,2021.07.20 14:13
5,"시큐브 ""랜섬웨어 공격 탐지·차단 특허 취득""",머니투데이,2021.05.14 17:09
6,"연관기사 목록  시큐브, 랜섬웨어 공격 탐지 기술 관련 특허권 취득  이데일리  2021.05.14 14:08","연관기사 목록  시큐브, 랜섬웨어 공격 탐지 기술 관련 특허권 취득  이데일리  2021.05.14 14:08","연관기사 목록  시큐브, 랜섬웨어 공격 탐지 기술 관련 특허권 취득  이데일리  2021.05.14 14:08"
7,"시큐브, 랜섬웨어 공격 탐지 기술 관련 특허권 취득",이데일리,2021.05.14 14:08
8,"시큐브, 다우데이타·티맥스클라우드와 클라우드 보안 공략",머니투데이,2021.04.08 11:09
9,"연관기사 목록  시큐브, 다우데이타·티맥스클라우드와 전략적 제휴  이데일리  2021.04.08 10:51","연관기사 목록  시큐브, 다우데이타·티맥스클라우드와 전략적 제휴  이데일리  2021.04.08 10:51","연관기사 목록  시큐브, 다우데이타·티맥스클라우드와 전략적 제휴  이데일리  2021.04.08 10:51"
10,"시큐브, 다우데이타·티맥스클라우드와 전략적 제휴",이데일리,2021.04.08 10:51
11,"""서명 동작 남이 못 보게""…시큐브, 은닉 수기서명 기술 특허",머니투데이,2021.03.30 17:02
12,"연관기사 목록  시큐브, `은닉 수기서명 인증기술` 특허 취득  이데일리  2021.03.30 16:12  시큐브, 은닉 수기서명 방법 특허권 취득  아시아경제  2021.03.30 16:02  관련뉴스 1건 더보기","연관기사 목록  시큐브, `은닉 수기서명 인증기술` 특허 취득  이데일리  2021.03.30 16:12  시큐브, 은닉 수기서명 방법 특허권 취득  아시아경제  2021.03.30 16:02  관련뉴스 1건 더보기","연관기사 목록  시큐브, `은닉 수기서명 인증기술` 특허 취득  이데일리  2021.03.30 16:12  시큐브, 은닉 수기서명 방법 특허권 취득  아시아경제  2021.03.30 16:02  관련뉴스 1건 더보기"
13,"시큐브, `은닉 수기서명 인증기술` 특허 취득",이데일리,2021.03.30 16:12
14,"시큐브, 은닉 수기서명 방법 특허권 취득",아시아경제,2021.03.30 16:02
15,비대면 전자 계약에 손으로 사인…시큐브 '시큐사인' 출시,머니투데이,2021.03.23 10:23
16,"연관기사 목록  시큐브, 비대면 전자계약 `시큐사인` 오픈…""실시간 인증 확인""  이데일리  2021.03.23 09:55","연관기사 목록  시큐브, 비대면 전자계약 `시큐사인` 오픈…""실시간 인증 확인""  이데일리  2021.03.23 09:55","연관기사 목록  시큐브, 비대면 전자계약 `시큐사인` 오픈…""실시간 인증 확인""  이데일리  2021.03.23 09:55"
17,"시큐브, 비대면 전자계약 `시큐사인` 오픈…""실시간 인증 확인""",이데일리,2021.03.23 09:55
18,"시큐브, ISMS 인증 획득…""고객 신뢰도 향상""",이데일리,2021.03.18 13:50
19,"연관기사 목록  시큐브, KISA 정보보호관리체계 인증 획득  머니투데이  2021.03.18 11:45","연관기사 목록  시큐브, KISA 정보보호관리체계 인증 획득  머니투데이  2021.03.18 11:45","연관기사 목록  시큐브, KISA 정보보호관리체계 인증 획득  머니투데이  2021.03.18 11:45"
20,"시큐브, KISA 정보보호관리체계 인증 획득",머니투데이,2021.03.18 11:45
21,"금융위, 매출액 부풀린 위니아딤채·시큐브에 과징금 부과",조선비즈,2021.02.18 16:54
22,연관기사 목록  회계처리기준 위반 '위니아딤채?시큐브' 과징금 부과  파이낸셜뉴스  2021.02.18 16:49,연관기사 목록  회계처리기준 위반 '위니아딤채?시큐브' 과징금 부과  파이낸셜뉴스  2021.02.18 16:49,연관기사 목록  회계처리기준 위반 '위니아딤채?시큐브' 과징금 부과  파이낸셜뉴스  2021.02.18 16:49
23,회계처리기준 위반 '위니아딤채?시큐브' 과징금 부과,파이낸셜뉴스,2021.02.18 16:49
24,"거래소 “시큐브, 회계처리 위반으로 상장적격성 실질 심사 사유 발생”",이데일리,2021.01.27 17:15
