,제목,정보제공,날짜
0,"대아티아이, 프렌드 스마트밸런스 지분 150억원 규모 취득",이데일리,2021.07.19 16:38
1,"대아티아이, 300억 규모 이집트 철도신호 현대화 사업 수주",이데일리,2021.06.24 17:36
2,"연관기사 목록  대아티아이 , 300억 규모 이집트 철도신호 현대화 사업 수주  머니투데이  2021.06.24 17:06  대아티아이, 300억 규모 이집트 철도신호 현대화 사업 수주  한국경제  2021.06.24 16:36  대아티아이, 300억 규모 이집트 철도신호 현대화 사업 수주  아시아경제  2021.06.24 16:23  관련뉴스 2건 더보기","연관기사 목록  대아티아이 , 300억 규모 이집트 철도신호 현대화 사업 수주  머니투데이  2021.06.24 17:06  대아티아이, 300억 규모 이집트 철도신호 현대화 사업 수주  한국경제  2021.06.24 16:36  대아티아이, 300억 규모 이집트 철도신호 현대화 사업 수주  아시아경제  2021.06.24 16:23  관련뉴스 2건 더보기","연관기사 목록  대아티아이 , 300억 규모 이집트 철도신호 현대화 사업 수주  머니투데이  2021.06.24 17:06  대아티아이, 300억 규모 이집트 철도신호 현대화 사업 수주  한국경제  2021.06.24 16:36  대아티아이, 300억 규모 이집트 철도신호 현대화 사업 수주  아시아경제  2021.06.24 16:23  관련뉴스 2건 더보기"
3,"대아티아이 , 300억 규모 이집트 철도신호 현대화 사업 수주",머니투데이,2021.06.24 17:06
4,"대아티아이, 300억 규모 이집트 철도신호 현대화 사업 수주",한국경제,2021.06.24 16:36
5,"대아티아이, 300억 규모 이집트 철도신호 현대화 사업 수주",아시아경제,2021.06.24 16:23
6,"대아티아이, 4차 국가철도망 계획+10조 스마트 철도 수혜",머니투데이,2021.04.22 09:07
7,"대아티아이, 계열회사 코마스인터렉티브에 120억원 규모 채무보증",이데일리,2021.03.26 16:14
8,"대아티아이, 지난해 영업익 87억원…전년比 2.9%↓",이데일리,2021.01.27 17:18
9,"연관기사 목록  대아티아이, 1주당 20원 현금배당 결정  헤럴드경제  2021.01.27 16:27","연관기사 목록  대아티아이, 1주당 20원 현금배당 결정  헤럴드경제  2021.01.27 16:27","연관기사 목록  대아티아이, 1주당 20원 현금배당 결정  헤럴드경제  2021.01.27 16:27"
10,"대아티아이, 1주당 20원 현금배당 결정",헤럴드경제,2021.01.27 16:27
11,"대아티아이, 지난해 영업익 88억…전년비 2.9%↓",헤럴드경제,2021.01.27 16:27
12,"철도 신호체계 강자 대아티아이 ""국내 자율주행열차 시대 열 것""",한국경제,2020.12.27 17:52
13,"연관기사 목록  대아티아이 ""국내 자율주행 열차 시대 열겠다""  한국경제  2020.12.27 12:21","연관기사 목록  대아티아이 ""국내 자율주행 열차 시대 열겠다""  한국경제  2020.12.27 12:21","연관기사 목록  대아티아이 ""국내 자율주행 열차 시대 열겠다""  한국경제  2020.12.27 12:21"
14,"대아티아이 ""국내 자율주행 열차 시대 열겠다""",한국경제,2020.12.27 12:21
15,"대아티아이, 디지털 뉴딜+서울시장 보궐선거 수혜 '부각'",머니투데이,2020.11.06 11:37
16,"[공시]대아티아이, 매출 65% 공공기관 입찰 참가 3개월 제한",파이낸셜뉴스,2020.10.27 20:22
17,"대아티아이, 국내 공공기관 입찰참가 석 달간 제한",이데일리,2020.10.27 18:27
