,제목,정보제공,날짜
0,이퓨쳐 “명인에듀의 지분 9.07→6.00%”,이데일리,2021.07.22 13:35
1,"이퓨쳐, 임시주총서 주주제안 이사 해임안 부결",아시아경제,2021.04.28 15:35
2,"이퓨쳐 소액주주연대, 위임장 확보 총력…경영권 분쟁 격화",한국경제,2021.03.24 11:48
3,"명인에듀, 이퓨쳐 지분 추가 매입…“경영권분쟁 격화”",이데일리,2021.03.19 18:43
4,"연관기사 목록  명인에듀, 이퓨쳐 지분 추가 매입…경영권 분쟁 본격화  파이낸셜뉴스  2021.03.19 16:46","연관기사 목록  명인에듀, 이퓨쳐 지분 추가 매입…경영권 분쟁 본격화  파이낸셜뉴스  2021.03.19 16:46","연관기사 목록  명인에듀, 이퓨쳐 지분 추가 매입…경영권 분쟁 본격화  파이낸셜뉴스  2021.03.19 16:46"
5,"명인에듀, 이퓨쳐 지분 추가 매입…경영권 분쟁 본격화",파이낸셜뉴스,2021.03.19 16:46
6,"이퓨쳐 소액주주연대, 명인에듀와 손잡고 경영참여 공식 선언",이데일리,2021.03.17 09:36
7,"이퓨쳐 ""주식회사 율호 등이 서류 열람·등사 가처분 항고 신청""",이데일리,2021.03.16 15:48
8,이퓨쳐 “주주총회결의 효력 정지 가처분 소송”,이데일리,2021.02.04 18:32
9,"연관기사 목록  이퓨쳐 소액주주연대 임시주총 효력정지 가처분 신청  헤럴드경제  2021.02.04 11:13  이퓨쳐 소액주주연대, 임시주총 효력정지 가처분 신청  이데일리  2021.02.04 10:54  이퓨쳐 소액주주들, 임시주총 효력정지 가처분 신청…경영권 분쟁 본격화  파이낸셜뉴스  2021.02.04 10:36  관련뉴스 2건 더보기","연관기사 목록  이퓨쳐 소액주주연대 임시주총 효력정지 가처분 신청  헤럴드경제  2021.02.04 11:13  이퓨쳐 소액주주연대, 임시주총 효력정지 가처분 신청  이데일리  2021.02.04 10:54  이퓨쳐 소액주주들, 임시주총 효력정지 가처분 신청…경영권 분쟁 본격화  파이낸셜뉴스  2021.02.04 10:36  관련뉴스 2건 더보기","연관기사 목록  이퓨쳐 소액주주연대 임시주총 효력정지 가처분 신청  헤럴드경제  2021.02.04 11:13  이퓨쳐 소액주주연대, 임시주총 효력정지 가처분 신청  이데일리  2021.02.04 10:54  이퓨쳐 소액주주들, 임시주총 효력정지 가처분 신청…경영권 분쟁 본격화  파이낸셜뉴스  2021.02.04 10:36  관련뉴스 2건 더보기"
10,이퓨쳐 소액주주연대 임시주총 효력정지 가처분 신청,헤럴드경제,2021.02.04 11:13
11,"이퓨쳐 소액주주연대, 임시주총 효력정지 가처분 신청",이데일리,2021.02.04 10:54
12,"이퓨쳐 소액주주들, 임시주총 효력정지 가처분 신청…경영권 분쟁 본격화",파이낸셜뉴스,2021.02.04 10:36
13,"이퓨쳐, 주주명부 열람등사 가처분 소송 기각",아시아경제,2020.12.31 15:26
14,연관기사 목록  이퓨쳐 “주주명부 열람등사 가처분 소송 기각”  이데일리  2020.12.31 14:17,연관기사 목록  이퓨쳐 “주주명부 열람등사 가처분 소송 기각”  이데일리  2020.12.31 14:17,연관기사 목록  이퓨쳐 “주주명부 열람등사 가처분 소송 기각”  이데일리  2020.12.31 14:17
15,이퓨쳐 “주주명부 열람등사 가처분 소송 기각”,이데일리,2020.12.31 14:17
16,"이퓨쳐 ""주주명부 열람등사 가처분신청 제기돼""",이데일리,2020.12.23 16:25
17,"에스지앤지 홀딩스 이준희 대표, ""교육전문 이퓨쳐 지분 참여로 새로운 ...",한국경제,2020.09.09 11:20
