,제목,정보제공,날짜
0,"슈피겐코리아, 2021년형 벤츠 더 뉴 S-클래스 모델 보호필름 출시",머니투데이,2021.08.05 13:37
1,[주말n입사지원]롯데월드·쌍용C&E·슈피겐코리아 등 채용소식,이데일리,2021.06.05 10:07
2,"슈피겐코리아, 1분기 매출액 859억원…전년비 15.0%↑",머니투데이,2021.05.14 17:36
3,"슈피겐코리아, 에어태그 액세서리 북미 아마존 1위",머니투데이,2021.04.27 11:43
4,"슈피겐코리아, 주당 1200원 현금 결산배당 결정",이데일리,2021.02.25 18:21
5,"슈피겐코리아, 지난해 매출 4000억 돌파…“창사 이래 최대”",이데일리,2021.02.09 17:18
6,"슈피겐코리아, 지난해 영업익 797억…전년비 80.7%↑",헤럴드경제,2021.02.09 17:00
7,"슈피겐코리아, AI 플랫폼 마이셀럽스에 35억원 투자",헤럴드경제,2020.12.22 15:45
8,"연관기사 목록  슈피겐코리아, AI플랫폼 기업 ‘마이셀럽스’에 35억 투자  이데일리  2020.12.22 10:57  슈피겐코리아, AI플랫폼사 마이셀럽스 35억 투자 ""글로벌 진출 지원...  머니투데이  2020.12.22 09:17  관련뉴스 1건 더보기","연관기사 목록  슈피겐코리아, AI플랫폼 기업 ‘마이셀럽스’에 35억 투자  이데일리  2020.12.22 10:57  슈피겐코리아, AI플랫폼사 마이셀럽스 35억 투자 ""글로벌 진출 지원...  머니투데이  2020.12.22 09:17  관련뉴스 1건 더보기","연관기사 목록  슈피겐코리아, AI플랫폼 기업 ‘마이셀럽스’에 35억 투자  이데일리  2020.12.22 10:57  슈피겐코리아, AI플랫폼사 마이셀럽스 35억 투자 ""글로벌 진출 지원...  머니투데이  2020.12.22 09:17  관련뉴스 1건 더보기"
9,"슈피겐코리아, AI플랫폼 기업 ‘마이셀럽스’에 35억 투자",이데일리,2020.12.22 10:57
10,"슈피겐코리아, AI플랫폼사 마이셀럽스 35억 투자 ""글로벌 진출 지원...",머니투데이,2020.12.22 09:17
11,"슈피겐코리아, ‘슈피겐X홀맨 컬래버 패키지’ 출시 ""레트로 감성 공략""",머니투데이,2020.12.21 10:55
12,"[Hot-Line] ""슈피겐코리아, 자회사 성장 따른 밸류에이션 상승 ...",매일경제,2020.11.06 08:02
